Name,Category,Price,Rating
Apple iPhone 14,Smartphones,799.99,4.5
Samsung Galaxy S22,Headphones,999.99,4.3
Sony WH-1000XM4,Laptops,299.99,4.8
Dell XPS 13,Cameras,1200.0,4.6
HP Spectre x360,Smart Home,1099.99,4.4
Google Pixel 7,Wearables,899.99,4.2
Bose QuietComfort 35,Gaming Consoles,379.99,4.9
Microsoft Surface Pro 8,TVs,1299.99,4.7
Apple MacBook Pro,Home Appliances,2399.99,4.8
Asus ROG Zephyrus,Audio,1999.99,4.3
Lenovo ThinkPad X1,Networking,1999.99,4.6
Canon EOS R6,Vacuum Cleaners,2499.0,4.5
Nikon Z6,Kitchen Appliances,2299.0,4.4
GoPro HERO9,Smartphones,499.99,4.7
DJI Mavic Air 2,Headphones,799.99,4.8
Amazon Echo Dot,Laptops,49.99,4.2
Fitbit Charge 4,Cameras,149.99,4.3
Garmin Forerunner 945,Smart Home,649.99,4.5
Apple Watch Series 6,Wearables,399.99,4.6
Oculus Quest 2,Gaming Consoles,299.99,4.9
Roku Streaming Stick,TVs,49.99,4.7
Sony PlayStation 5,Home Appliances,499.99,4.8
Xbox Series X,Audio,499.99,4.5
Nintendo Switch,Networking,299.99,4.6
Samsung 4K TV,Vacuum Cleaners,1299.99,4.9
LG OLED TV,Kitchen Appliances,1999.99,4.5
Sony 4K TV,Smartphones,2299.0,4.6
Philips Hue,Headphones,99.99,4.3
TP-Link Router,Laptops,199.99,4.4
Netgear Nighthawk,Cameras,399.99,4.8
Dyson V11 Vacuum,Smart Home,599.99,4.7
iRobot Roomba,Wearables,299.99,4.5
KitchenAid Mixer,Gaming Consoles,499.99,4.9
Breville Espresso Machine,TVs,499.99,4.4
Instant Pot,Home Appliances,2499.0,4.7
Samsung Refrigerator,Audio,1999.99,4.6
LG Washing Machine,Networking,1299.0,4.3
Bosch Dishwasher,Vacuum Cleaners,1999.0,4.9
Whirlpool Oven,Kitchen Appliances,249.99,4.5
Apple AirPods Pro,Smartphones,179.99,4.4
Sony WF-1000XM3,Headphones,799.99,4.5
Apple iPhone 14,Laptops,999.99,4.3
Samsung Galaxy S22,Cameras,299.99,4.8
Sony WH-1000XM4,Smart Home,1200.0,4.6
Dell XPS 13,Wearables,1099.99,4.4
